movies	recommendation
" 
 Nightmare on Elm Street, A (1984) 
 Interview with the Vampire (1994) 
 Bram Stoker's Dracula (1992) 
 Psycho (1960)"	
" 
 Man of No Importance, A (1994) 
  Grease (1978)"	
" 
 Dead Man Walking (1995) 
 Lone Star (1996) 
 In & Out (1997) 
 English Patient, The (1996)"	
" 
 Schindler's List (1993) 
 Sling Blade (1996) 
 Forrest Gump (1994) 
 Great Escape, The (1963)"	" 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Shawshank Redemption, The (1994)"
" 
 Toy Story (1995) 
 Crying Game, The (1992) 
 Gandhi (1982) 
 Mrs. Doubtfire (1993)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Philadelphia Story, The (1940) 
 Like Water For Chocolate (Como agua para chocolate) (1992) 
 Everyone Says I Love You (1996) 
 Muriel's Wedding (1994)"	
" 
 Godfather, The (1972) 
 Sound of Music, The (1965) 
 Birds, The (1963) 
 Princess Bride, The (1987)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Reservoir Dogs (1992) 
 To Be or Not to Be (1942) 
 Once Upon a Time in the West (1969) 
 Paths of Glory (1957)"	" 
 Sixth Sense, The (1999) 
 Alien (1979) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999)"
" 
 Toy Story (1995) 
  Time to Kill, A (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Scream (1996) 
 Silence of the Lambs, The (1991) 
 Bram Stoker's Dracula (1992) 
 Star Wars (1977)"	
" 
 Godfather: Part II, The (1974) 
  Seven (Se7en) (1995)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Silence of the Lambs, The (1991)"
" 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
 Raise the Red Lantern (1991) 
 Roman Holiday (1953) 
 Casablanca (1942)"	
" 
 Chinatown (1974) 
  Raiders of the Lost Ark (1981)"	
" 
 One Flew Over the Cuckoo's Nest (1975) 
 Deer Hunter, The (1978) 
 Hoop Dreams (1994) 
 Dances with Wolves (1990)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Ulee's Gold (1997) 
 Ice Storm, The (1997) 
 L.A. Confidential (1997) 
 Cop Land (1997)"	
" 
 Wag the Dog (1997) 
  Paradise Lost: The Child Murders at Robin Hood Hills (1996) 
  Jackie Brown (1997)"	
" 
 Mrs. Brown (Her Majesty, Mrs. Brown) (1997) 
 Hurricane Streets (1998) 
 Rock, The (1996) 
 Dangerous Beauty (1998)"	
" 
 Young Frankenstein (1974) 
  Casablanca (1942)"	
" 
 Schindler's List (1993) 
 Princess Bride, The (1987) 
 Pulp Fiction (1994) 
 Leaving Las Vegas (1995)"	" 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Shawshank Redemption, The (1994)"
" 
 Starship Troopers (1997) 
  Contact (1997)"	
" 
 Apollo 13 (1995) 
  Cat on a Hot Tin Roof (1958)"	" 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991) 
 Fugitive, The (1993) 
 Braveheart (1995)"
" 
 Schindler's List (1993) 
 Babe (1995) 
 Good Will Hunting (1997) 
 American President, The (1995)"	" 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Shawshank Redemption, The (1994)"
" 
 Fargo (1996) 
  Cool Hand Luke (1967)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Fear (1996) 
  Career Girls (1997)"	
" 
 Wings of the Dove, The (1997) 
 Jerry Maguire (1996) 
 Good Will Hunting (1997) 
 Star Wars (1977)"	
" 
 Spawn (1997) 
 Kolya (1996) 
 Mrs. Dalloway (1997) 
 Keys to Tulsa (1997)"	
" 
 Apt Pupil (1998) 
  Saint, The (1997)"	
" 
 Willy Wonka and the Chocolate Factory (1971) 
  Shawshank Redemption, The (1994)"	
" 
 L.A. Confidential (1997) 
 English Patient, The (1996) 
 Boogie Nights (1997) 
 Full Monty, The (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 When Harry Met Sally... (1989) 
  GoodFellas (1990)"	" 
 Forrest Gump (1994)"
" 
 Raising Arizona (1987) 
  GoodFellas (1990)"	
" 
 Twister (1996) 
 Mr. Holland's Opus (1995) 
 Jerry Maguire (1996) 
 Star Wars (1977)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Mission: Impossible (1996) 
 Jurassic Park (1993) 
 Toy Story (1995)"
" 
 Star Maps (1997) 
 Life Less Ordinary, A (1997) 
 Starship Troopers (1997) 
 Ma vie en rose (My Life in Pink) (1997)"	
" 
 Toy Story (1995) 
 Rudy (1993) 
 Adventures of Robin Hood, The (1938) 
 My Fair Lady (1964)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Citizen Kane (1941) 
  Killing Fields, The (1984)"	
" 
 Toy Story (1995) 
 Some Like It Hot (1959) 
 My Fair Lady (1964) 
 Apollo 13 (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Primal Fear (1996) 
 Fargo (1996) 
 Contact (1997) 
 Leaving Las Vegas (1995)"	
" 
 Portrait of a Lady, The (1996) 
 Contact (1997) 
 Crash (1996) 
 Fifth Element, The (1997)"	
" 
 Toy Story (1995) 
  English Patient, The (1996) 
  People vs. Larry Flynt, The (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Soul Food (1997) 
  Love! Valour! Compassion! (1997)"	
" 
 Peacemaker, The (1997) 
  Titanic (1997)"	
" 
 Three Colors: Red (1994) 
  Piano, The (1993) 
  All About Eve (1950)"	
" 
 Heat (1995) 
  English Patient, The (1996)"	" 
 Terminator 2: Judgment Day (1991) 
 Seven (a.k.a. Se7en) (1995) 
 Twelve Monkeys (a.k.a. 12 Monkeys) (1995) 
 Fugitive, The (1993)"
" 
 To Kill a Mockingbird (1962) 
 Schindler's List (1993) 
 Seventh Seal, The (Sjunde inseglet, Det) (1957) 
 Secret of Roan Inish, The (1994)"	
" 
 Eye for an Eye (1996) 
 Family Thing, A (1996) 
 Nutty Professor, The (1996) 
 Matilda (1996)"	
" 
 Blade Runner (1982) 
 Glengarry Glen Ross (1992) 
 Reservoir Dogs (1992) 
 2001: A Space Odyssey (1968)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Alien (1979) 
 Terminator 2: Judgment Day (1991)"
" 
 Washington Square (1997) 
  U Turn (1997)"	
" 
 Saint, The (1997) 
  Fallen (1998) 
  Conspiracy Theory (1997)"	
" 
 Shawshank Redemption, The (1994) 
 Kicking and Screaming (1995) 
 Better Off Dead... (1985) 
 Empire Strikes Back, The (1980)"	
" 
 Birdcage, The (1996) 
  Jerry Maguire (1996)"	
" 
 In & Out (1997) 
  Mad City (1997)"	
" 
 Contact (1997) 
 Postino, Il (1994) 
 Romy and Michele's High School Reunion (1997) 
 Saint, The (1997)"	
" 
 Toy Story (1995) 
 Black Sheep (1996) 
 Lost Highway (1997) 
 Othello (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Brazil (1985) 
  Annie Hall (1977) 
  In the Company of Men (1997)"	
" 
 Searching for Bobby Fischer (1993) 
 Raising Arizona (1987) 
 Glory (1989) 
 E.T. the Extra-Terrestrial (1982)"	
" 
 Spice World (1997) 
  Saint, The (1997)"	
" 
 Conan the Barbarian (1981) 
 Empire Strikes Back, The (1980) 
 Clerks (1994) 
 Much Ado About Nothing (1993)"	
" 
 Toy Story (1995) 
 Godfather, The (1972) 
 Leaving Las Vegas (1995) 
 Fargo (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Phenomenon (1996) 
  My Best Friend's Wedding (1997)"	
" 
 Toy Story (1995) 
  Cyrano de Bergerac (1990)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Bridge on the River Kwai, The (1957) 
 Local Hero (1983) 
 Rebel Without a Cause (1955) 
 African Queen, The (1951)"	
" 
 Blade Runner (1982) 
 Schindler's List (1993) 
 Sling Blade (1996) 
 Bullets Over Broadway (1994)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Alien (1979) 
 Terminator 2: Judgment Day (1991)"
" 
 Empire Strikes Back, The (1980) 
 Kama Sutra: A Tale of Love (1996) 
 Mallrats (1995) 
 Farewell My Concubine (1993)"	
" 
 Little Women (1994) 
 Conspiracy Theory (1997) 
 Devil's Own, The (1997) 
 Anastasia (1997)"	
" 
 12 Angry Men (1957) 
 As Good As It Gets (1997) 
 Wedding Singer, The (1998) 
 Wag the Dog (1997)"	
" 
 McHale's Navy (1997) 
  Flubber (1997) 
  Jungle2Jungle (1997)"	
" 
 Toy Story (1995) 
  As Good As It Gets (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Apollo 13 (1995) 
  Truth About Cats & Dogs, The (1996)"	" 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991) 
 Fugitive, The (1993) 
 Braveheart (1995)"
" 
 Spitfire Grill, The (1996) 
 2001: A Space Odyssey (1968) 
 Lawrence of Arabia (1962) 
 Godfather, The (1972)"	
" 
 Fargo (1996) 
  People vs. Larry Flynt, The (1996)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Time to Kill, A (1996) 
 Return of the Jedi (1983) 
 Lost World: Jurassic Park, The (1997) 
 Fifth Element, The (1997)"	
" 
 English Patient, The (1996) 
  Face/Off (1997)"	
" 
 People vs. Larry Flynt, The (1996) 
  Star Wars (1977)"	
" 
 Toy Story (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Chasing Amy (1997) 
 Fargo (1996) 
 Chasing Amy (1997) 
 Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"	
" 
 Magnificent Seven, The (1954) 
 Nikita (La Femme Nikita) (1990) 
 Unbearable Lightness of Being, The (1988) 
 Cinema Paradiso (1988)"	
" 
 Desperate Measures (1998) 
 Deceiver (1997) 
 George of the Jungle (1997) 
 Assignment, The (1997)"	
" 
 American Werewolf in London, An (1981) 
 Taxi Driver (1976) 
 Game, The (1997) 
 Cop Land (1997)"	
" 
 Star Wars (1977) 
 Edge, The (1997) 
 Phenomenon (1996) 
 Toy Story (1995)"	
" 
 Notorious (1946) 
  2001: A Space Odyssey (1968)"	
" 
 Boogie Nights (1997) 
 Die Hard (1988) 
 When Harry Met Sally... (1989) 
 Jerry Maguire (1996)"	
" 
 Primal Fear (1996) 
  Forrest Gump (1994)"	
" 
 Wrong Trousers, The (1993) 
  Godfather, The (1972) 
  Lone Star (1996)"	
" 
 Wedding Singer, The (1998) 
 Air Force One (1997) 
 Murder at 1600 (1997) 
 Good Will Hunting (1997)"	
" 
 Rock, The (1996) 
  Face/Off (1997) 
  Con Air (1997)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Mission: Impossible (1996) 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991)"
" 
 Wrong Trousers, The (1993) 
 Amadeus (1984) 
 Bottle Rocket (1996) 
 Donnie Brasco (1997)"	
" 
 While You Were Sleeping (1995) 
 Heathers (1989) 
 Sleepers (1996) 
 Godfather, The (1972)"	" 
 Batman (1989) 
 True Lies (1994) 
 Jurassic Park (1993) 
 Aladdin (1992)"
" 
 Unbearable Lightness of Being, The (1988) 
  Day the Earth Stood Still, The (1951)"	
" 
 Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) 
 Bulletproof (1996) 
 Liar Liar (1997) 
 Bogus (1996)"	
" 
 Apt Pupil (1998) 
 Independence Day (ID4) (1996) 
 Georgia (1995) 
 Good Will Hunting (1997)"	
" 
 Apt Pupil (1998) 
  In & Out (1997)"	
" 
 Pulp Fiction (1994) 
 M*A*S*H (1970) 
 Some Like It Hot (1959) 
 Lawrence of Arabia (1962)"	" 
 Silence of the Lambs, The (1991)"
" 
 Killing Fields, The (1984) 
 Amistad (1997) 
 Apostle, The (1997) 
 Rainmaker, The (1997)"	
" 
 To Kill a Mockingbird (1962) 
 Silence of the Lambs, The (1991) 
 12 Angry Men (1957) 
 Batman (1989)"	
" 
 Snow White and the Seven Dwarfs (1937) 
  Wallace & Gromit: The Best of Aardman Animation (1996) 
  Taxi Driver (1976)"	" 
 Lion King, The (1994)"
" 
 Wrong Trousers, The (1993) 
  Chasing Amy (1997)"	
" 
 Toy Story (1995) 
 Schindler's List (1993) 
 GoodFellas (1990) 
 Donnie Brasco (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 That Thing You Do! (1996) 
 Independence Day (ID4) (1996) 
 Conspiracy Theory (1997) 
 Game, The (1997)"	
" 
 Lawrence of Arabia (1962) 
  Seventh Seal, The (Sjunde inseglet, Det) (1957)"	
" 
 Conspiracy Theory (1997) 
 Titanic (1997) 
 Star Wars (1977) 
 Dante's Peak (1997)"	
" 
 Absolute Power (1997) 
 Star Trek III: The Search for Spock (1984) 
 Titanic (1997) 
 Air Force One (1997)"	
" 
 Toy Story (1995) 
 Aliens (1986) 
 Pulp Fiction (1994) 
 Fugitive, The (1993)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
  Butch Cassidy and the Sundance Kid (1969)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Remains of the Day, The (1993) 
 Apostle, The (1997) 
 Margaret's Museum (1995) 
 All About Eve (1950)"	
" 
 Seven (Se7en) (1995) 
  Monty Python's Life of Brian (1979) 
  Manon of the Spring (Manon des sources) (1986)"	
" 
 Chasing Amy (1997) 
 Fargo (1996) 
 Chasing Amy (1997) 
 Leaving Las Vegas (1995)"	
" 
 Godfather, The (1972) 
 Contact (1997) 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
 Raging Bull (1980)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Toy Story (1995) 
  Princess Bride, The (1987)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 As Good As It Gets (1997) 
  Apt Pupil (1998)"	
" 
 Gone with the Wind (1939) 
 It's a Wonderful Life (1946) 
 Ghost (1990) 
 Wizard of Oz, The (1939)"	
" 
 Dante's Peak (1997) 
 Anna Karenina (1997) 
 Anne Frank Remembered (1995) 
 Evita (1996)"	
" 
 Butch Cassidy and the Sundance Kid (1969) 
  Birdcage, The (1996) 
  Victor/Victoria (1982)"	
" 
 Dumbo (1941) 
 Like Water For Chocolate (Como agua para chocolate) (1992) 
 Adventures of Priscilla, Queen of the Desert, The (1994) 
 Pinocchio (1940)"	
" 
 Alien (1979) 
 Psycho (1960) 
 L.A. Confidential (1997) 
 Jaws (1975)"	" 
 Aliens (1986) 
 Terminator 2: Judgment Day (1991) 
 American Beauty (1999) 
 Star Wars: Episode VI - Return of the Jedi (1983)"
" 
 Pulp Fiction (1994) 
  While You Were Sleeping (1995)"	" 
 Silence of the Lambs, The (1991)"
" 
 Toy Story (1995) 
  This Is Spinal Tap (1984) 
  Amadeus (1984)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 English Patient, The (1996) 
  Oscar & Lucinda (1997)"	
" 
 Rear Window (1954) 
  Trees Lounge (1996)"	" 
 Silence of the Lambs, The (1991) 
 Godfather, The (1972)"
" 
 Contact (1997) 
 Good Will Hunting (1997) 
 Heathers (1989) 
 L.A. Confidential (1997)"	
" 
 Casablanca (1942) 
  Blade Runner (1982)"	" 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981) 
 Star Wars: Episode V - The Empire Strikes Back (1980)"
" 
 Crimson Tide (1995) 
 Princess Bride, The (1987) 
 Fugitive, The (1993) 
 Back to the Future (1985)"	" 
 Batman (1989) 
 True Lies (1994) 
 Speed (1994) 
 Die Hard: With a Vengeance (1995)"
" 
 Rebecca (1940) 
 Sound of Music, The (1965) 
 My Fair Lady (1964) 
 Schindler's List (1993)"	
" 
 City of Lost Children, The (1995) 
 Trainspotting (1996) 
 Donnie Brasco (1997) 
 Star Wars (1977)"	
" 
 Toy Story (1995) 
 Apollo 13 (1995) 
 Sneakers (1992) 
 Better Off Dead... (1985)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Sting, The (1973) 
 Devil's Advocate, The (1997) 
 Breakdown (1997) 
 Singin' in the Rain (1952)"	
" 
 Toy Story (1995) 
  Orlando (1993)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 North by Northwest (1959) 
 Belle de jour (1967) 
 Supercop (1992) 
 Vertigo (1958)"	
" 
 High Noon (1952) 
  Crumb (1994)"	
" 
 Casablanca (1942) 
 2001: A Space Odyssey (1968) 
 Wrong Trousers, The (1993) 
 Harold and Maude (1971)"	" 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981) 
 Star Wars: Episode V - The Empire Strikes Back (1980)"
" 
 Room with a View, A (1986) 
 Henry V (1989) 
 Jean de Florette (1986) 
 Manon of the Spring (Manon des sources) (1986)"	
" 
 Toy Story (1995) 
 Psycho (1960) 
 Kids (1995) 
 Philadelphia (1993)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Shine (1996) 
  Titanic (1997) 
  Secrets & Lies (1996)"	
" 
 Long Kiss Goodnight, The (1996) 
  Birdcage, The (1996) 
  North by Northwest (1959)"	
" 
 Jackal, The (1997) 
 Good Will Hunting (1997) 
 Contact (1997) 
 Game, The (1997)"	
" 
 Back to the Future (1985) 
 Star Wars (1977) 
 Butch Cassidy and the Sundance Kid (1969) 
 Sense and Sensibility (1995)"	" 
 Jurassic Park (1993) 
 Toy Story (1995) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Forrest Gump (1994)"
" 
 Birdcage, The (1996) 
 Leaving Las Vegas (1995) 
 Willy Wonka and the Chocolate Factory (1971) 
 Full Monty, The (1997)"	
" 
 To Kill a Mockingbird (1962) 
 Lone Star (1996) 
 Apt Pupil (1998) 
 Apostle, The (1997)"	
" 
 Murder at 1600 (1997) 
  Rosewood (1997)"	
" 
 Tin Cup (1996) 
  Angels and Insects (1995)"	
" 
 Liar Liar (1997) 
 Titanic (1997) 
 Scream 2 (1997) 
 Good Will Hunting (1997)"	
" 
 Shall We Dance? (1996) 
 Lone Star (1996) 
 Sense and Sensibility (1995) 
 Henry V (1989)"	
" 
 Rosewood (1997) 
 Devil's Own, The (1997) 
 Gattaca (1997) 
 Full Monty, The (1997)"	
" 
 Titanic (1997) 
 Raise the Red Lantern (1991) 
 English Patient, The (1996) 
 Good Will Hunting (1997)"	" 
 Matrix, The (1999)"
" 
 English Patient, The (1996) 
 Game, The (1997) 
 Money Talks (1997) 
 Fargo (1996)"	
" 
 Manon of the Spring (Manon des sources) (1986) 
 Cyrano de Bergerac (1990) 
 This Is Spinal Tap (1984) 
 Room with a View, A (1986)"	
" 
 L.A. Confidential (1997) 
  Full Monty, The (1997)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Fargo (1996) 
 Secrets & Lies (1996) 
 Shawshank Redemption, The (1994) 
 Amadeus (1984)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Toy Story (1995) 
  Deer Hunter, The (1978)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Paradise Lost: The Child Murders at Robin Hood Hills (1996) 
 Psycho (1960) 
 Raging Bull (1980) 
 Shining, The (1980)"	
" 
 Emma (1996) 
  Anna (1996)"	
" 
 Titanic (1997) 
 Contact (1997) 
 In & Out (1997) 
 Scream 2 (1997)"	" 
 Matrix, The (1999)"
" 
 Air Force One (1997) 
 Men in Black (1997) 
 Independence Day (ID4) (1996) 
 G.I. Jane (1997)"	
" 
 Dante's Peak (1997) 
  GoodFellas (1990)"	
" 
 Fantasia (1940) 
  Terminator, The (1984)"	
" 
 Lone Star (1996) 
 Spitfire Grill, The (1996) 
 Fargo (1996) 
 Big Night (1996)"	
" 
 Scream (1996) 
  Sling Blade (1996)"	
" 
 Money Talks (1997) 
  Jungle2Jungle (1997)"	
" 
 12 Angry Men (1957) 
  Jerry Maguire (1996) 
  Contact (1997)"	
" 
 Titanic (1997) 
  Gattaca (1997) 
  L.A. Confidential (1997)"	" 
 Matrix, The (1999)"
" 
 Persuasion (1995) 
 Once Were Warriors (1994) 
 Room with a View, A (1986) 
 Enchanted April (1991)"	
" 
 Toy Story (1995) 
 Star Wars (1977) 
 Contact (1997) 
 Boot, Das (1981)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Mary Poppins (1964) 
  Clockwork Orange, A (1971)"	
" 
 Arsenic and Old Lace (1944) 
 Graduate, The (1967) 
 Everyone Says I Love You (1996) 
 Silence of the Lambs, The (1991)"	
" 
 My Fair Lady (1964) 
  Vanya on 42nd Street (1994)"	
" 
 Toy Story (1995) 
  Mr. Holland's Opus (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Godfather: Part II, The (1974) 
 Ransom (1996) 
 Bringing Up Baby (1938) 
 Groundhog Day (1993)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Silence of the Lambs, The (1991)"
" 
 Dead Poets Society (1989) 
  Schindler's List (1993)"	" 
 Forrest Gump (1994)"
" 
 Frighteners, The (1996) 
  Fargo (1996)"	
" 
 187 (1997) 
 Peacemaker, The (1997) 
 Desperate Measures (1998) 
 Duoluo tianshi (1995)"	
" 
 Toy Story (1995) 
  Fargo (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Sound of Music, The (1965) 
  Manchurian Candidate, The (1962)"	
" 
 Groundhog Day (1993) 
  Leaving Las Vegas (1995)"	" 
 Jurassic Park (1993) 
 Toy Story (1995) 
 Back to the Future (1985) 
 American Beauty (1999)"
" 
 Chain Reaction (1996) 
 Twister (1996) 
 Shining, The (1980) 
 Independence Day (ID4) (1996)"	
" 
 Big Night (1996) 
  Welcome to the Dollhouse (1995)"	
" 
 Star Trek: First Contact (1996) 
 Titanic (1997) 
 Screamers (1995) 
 Fargo (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Princess Bride, The (1987) 
 Return of the Jedi (1983) 
 Star Wars (1977) 
 E.T. the Extra-Terrestrial (1982)"	" 
 Back to the Future (1985) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Matrix, The (1999) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
" 
 Toy Story (1995) 
  Shining, The (1980)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Fly Away Home (1996) 
 Mr. Holland's Opus (1995) 
 Excess Baggage (1997) 
 Secrets & Lies (1996)"	
" 
 Apt Pupil (1998) 
 Excess Baggage (1997) 
 Good Will Hunting (1997) 
 Seven Years in Tibet (1997)"	
" 
 Rainmaker, The (1997) 
 Titanic (1997) 
 Good Will Hunting (1997) 
 MatchMaker, The (1997)"	
" 
 Cement Garden, The (1993) 
 City of Lost Children, The (1995) 
 Celluloid Closet, The (1995) 
 Faust (1994)"	
" 
 Paradise Lost: The Child Murders at Robin Hood Hills (1996) 
 Bram Stoker's Dracula (1992) 
 Titanic (1997) 
 Alien (1979)"	
" 
 One Flew Over the Cuckoo's Nest (1975) 
 To Kill a Mockingbird (1962) 
 Raging Bull (1980) 
 Sting, The (1973)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Bram Stoker's Dracula (1992) 
 Top Gun (1986) 
 Braveheart (1995) 
 Scream (1996)"	
" 
 Star Trek: The Wrath of Khan (1982) 
 Titanic (1997) 
 Star Trek VI: The Undiscovered Country (1991) 
 Wallace & Gromit: The Best of Aardman Animation (1996)"	
" 
 Private Parts (1997) 
  Cable Guy, The (1996)"	
" 
 Titanic (1997) 
 English Patient, The (1996) 
 Amistad (1997) 
 Good Will Hunting (1997)"	" 
 Matrix, The (1999)"
" 
 Scream (1996) 
 2001: A Space Odyssey (1968) 
 For Whom the Bell Tolls (1943) 
 Schindler's List (1993)"	
" 
 Rock, The (1996) 
 Ransom (1996) 
 Happy Gilmore (1996) 
 Truth About Cats & Dogs, The (1996)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Mission: Impossible (1996) 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991)"
" 
 Contact (1997) 
 Game, The (1997) 
 Full Monty, The (1997) 
 Winter Guest, The (1997)"	
" 
 I.Q. (1994) 
  Empire Strikes Back, The (1980) 
  Magnificent Seven, The (1954)"	
" 
 Bullets Over Broadway (1994) 
  Sting, The (1973)"	
" 
 Toy Story (1995) 
  This Is Spinal Tap (1984) 
  Shawshank Redemption, The (1994)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Edge, The (1997) 
  Apt Pupil (1998)"	
" 
 Thin Man, The (1934) 
  Psycho (1960)"	
